日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/09/28,14664996,878601637,59.4,60.7,59.0,60.2,1.3,6178
109/09/29,17577583,1038568197,60.3,60.5,58.5,58.6,-1.6,8007
109/09/30,10667279,631962991,59.0,59.7,58.7,59.2,0.6,4497
109/10/05,21291110,1289326910,60.1,61.5,59.8,60.5,1.3,10114
109/10/06,17884861,1085604572,61.2,61.5,60.1,60.2,-0.3,9503
109/10/07,9633536,578917759,59.9,60.5,59.7,60.1,-0.1,5212
109/10/08,18425504,1127637677,60.7,61.6,60.4,61.5,1.4,9728
109/10/12,30702234,1906271002,62.4,62.8,61.3,62.1,0.6,13844
109/10/13,14942175,920608491,62.3,62.4,61.1,61.8,-0.3,7246
109/10/14,20082439,1228034606,61.4,62.2,60.8,60.9,-0.9,9494
109/10/15,16342985,1000399949,61.0,61.7,60.6,61.3,0.4,8148
109/10/16,18866600,1164978859,61.5,62.2,61.1,61.2,-0.1,9108
109/10/19,17165237,1063534042,61.9,62.2,61.5,61.9,0.7,6663
109/10/20,17049915,1061340730,62.0,63.0,61.7,61.9,0.0,8851
109/10/21,46096923,2938552312,62.6,64.7,62.3,64.1,2.2,20725
109/10/22,25908706,1662310034,64.0,64.8,63.5,64.4,0.3,11629
109/10/23,22853651,1486025406,64.5,65.4,64.5,65.2,0.8,9587
109/10/26,39371590,2615017759,66.5,67.5,65.8,66.3,1.1,17380
109/10/27,23586377,1528851328,65.5,65.6,64.2,64.4,-1.9,12853
109/10/28,18990810,1204696176,64.4,64.4,63.0,63.1,-1.3,10274
109/10/29,16517058,1025952845,61.8,62.6,61.5,62.5,-0.6,8028
109/10/30,16418358,1038143071,62.5,63.6,62.5,63.2,0.7,6362
109/11/02,85636999,5715063366,65.9,67.7,65.4,66.8,3.6,35235
109/11/03,31202960,2092188584,67.6,68.1,66.2,66.8,0.0,13613
109/11/04,26605359,1793245675,67.1,68.0,66.7,68.0,1.2,11035
109/11/05,22215078,1510360334,68.5,68.5,67.5,68.2,0.2,9654
109/11/06,22024403,1507074393,68.6,68.8,67.9,68.7,0.5,9595
109/11/09,30757777,2144056729,69.2,70.2,68.9,70.2,1.5,15204
109/11/10,40313853,2865338475,71.0,71.5,70.6,71.5,1.3,15211
109/11/11,25148988,1794339961,71.5,71.8,70.9,71.5,0.0,11854
109/11/12,21047478,1511936684,71.7,72.5,71.1,72.0,0.5,9144
109/11/13,13971091,984480538,71.3,71.5,70.0,70.5,-1.5,8159
109/11/16,15396900,1101752056,71.0,71.9,70.8,71.9,1.4,7941
109/11/17,20226344,1466277120,72.7,73.5,71.8,72.0,0.1,10305
109/11/18,20470152,1491900774,72.5,73.5,72.2,73.0,1.0,10098
109/11/19,11904250,866386046,72.5,73.2,72.2,72.9,-0.1,6142
109/11/20,14563414,1058761744,73.2,73.4,72.2,72.9,0.0,6855
109/11/23,22856570,1694238735,73.6,74.9,73.4,73.9,1.0,11148
109/11/24,15859115,1172838025,74.8,74.9,73.4,73.4,-0.5,8038
109/11/25,15688975,1147531087,73.8,74.2,72.2,72.5,-0.9,7076
109/11/26,12755045,934376065,72.5,73.8,72.3,73.5,1.0,6934
109/11/27,16124295,1196442329,73.8,75.2,73.6,74.4,0.9,7228
109/11/30,74501570,5834463786,78.0,81.8,76.4,76.6,2.2,25714
109/12/01,24146280,1849980360,77.7,78.0,75.8,76.7,0.1,11186
109/12/02,24400988,1868022170,76.9,77.4,75.3,77.3,0.6,10899
109/12/03,21392380,1652673850,77.5,78.1,76.3,77.9,0.6,10542
109/12/04,26294080,2084731884,80.0,80.0,78.3,79.6,1.7,11909
109/12/07,34287003,2737410461,82.0,82.0,78.3,78.8,-0.8,15551
109/12/08,14025329,1105918907,78.9,79.5,78.1,79.5,0.7,6876
109/12/09,22372327,1783923708,80.0,80.5,79.3,79.5,0.0,8854
109/12/10,34944362,2800408960,79.5,81.1,79.4,80.6,1.1,14368
109/12/11,34084312,2697264296,80.8,81.6,77.2,78.8,-1.8,15518
109/12/14,19922591,1544397863,78.2,78.4,77.0,77.0,-1.8,10877
109/12/15,19061667,1476590343,77.3,78.7,76.8,77.6,0.6,8691
109/12/16,16587741,1307061382,79.0,79.4,78.3,78.7,1.1,8034
109/12/17,23131606,1839783369,79.7,80.7,79.0,79.5,0.8,9521
109/12/18,16824008,1335133547,79.5,80.0,78.9,78.9,-0.6,6224
109/12/21,16604305,1317956275,79.5,79.8,78.4,79.5,0.6,6635
