日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/04/08,39136758,4793168068,123.0,123.0,121.5,122.5,-1.0,22754
110/04/09,81190769,9840669741,123.0,123.0,120.0,120.0,-2.5,48261
110/04/12,69698881,8412790814,120.0,122.0,119.0,120.5,0.5,34745
110/04/13,49938841,6104468787,121.5,123.0,121.0,122.5,2.0,27114
110/04/14,53715724,6503412481,123.0,123.5,119.0,121.5,-1.0,30993
110/04/15,39721032,4787637644,121.0,121.0,119.5,121.0,-0.5,19434
110/04/16,53301304,6553729709,122.0,124.0,122.0,123.5,2.5,28744
110/04/19,32456085,3960275441,123.5,123.5,121.5,121.5,-2.0,20644
110/04/20,26315401,3200501050,121.5,122.0,121.0,122.0,0.5,16401
110/04/21,35462621,4268553354,121.0,121.5,120.0,120.0,-2.0,26330
110/04/22,68387339,8132044568,122.0,122.0,117.5,117.5,-2.5,48086
110/04/23,39536828,4672962184,117.0,119.0,117.0,119.0,1.5,21716
110/04/26,41610001,4920766189,119.5,120.0,117.5,117.5,-1.5,27201
110/04/27,54687858,6524558198,118.5,120.5,118.0,118.5,1.0,27876
110/04/28,39359343,4616990789,118.0,118.5,117.0,117.0,-1.5,28818
110/04/29,46015350,5394760734,118.0,118.5,116.0,116.0,-1.0,23471
110/05/03,72538032,8208678758,115.0,115.0,112.0,112.5,-3.5,41556
110/05/04,89596108,9800361771,112.0,112.0,107.5,108.5,-4.0,53065
110/05/05,65838793,7336678783,110.0,113.5,110.0,110.0,1.5,35566
110/05/06,38108953,4267799288,112.0,113.0,110.5,112.5,2.5,20913
110/05/07,60794976,7060345979,114.5,117.5,114.0,117.5,5.0,31435
110/05/10,41895494,4774715374,116.0,116.5,113.0,113.0,-4.5,25092
110/05/11,81061955,8760238578,109.5,110.0,106.0,107.0,-6.0,52353
110/05/12,150803046,15233688207,104.0,106.5,96.5,102.0,-5.0,81587
110/05/13,70831609,7257570159,99.5,105.0,98.2,103.0,1.0,37633
110/05/14,44125994,4625585079,105.0,106.0,103.5,104.5,1.5,24199
110/05/17,97655746,9727936586,100.0,102.0,97.1,98.2,-6.3,53058
110/05/18,81996675,8583172481,101.5,107.5,101.0,107.0,8.8,38862
110/05/19,47578836,5007165726,106.5,106.5,104.0,105.0,-2.0,22779
